site_name,avulsion_year,p95_zscore,p95_mean,p95_std,p95_avulsion_window,global_mean,global_p95,av_type,site_area
KAZ.001.1993,1993,-0.5306693036944141,40.02525650777776,11.998002642045007,33.6582848,15.9553758437757,47.84821139999999,delta,Central Asia
KAZ.014.2011,2011,0.7684060529401558,36.52999411333333,12.246034307852456,45.93992099999997,14.126759033158878,46.35495399999997,fan,Central Asia
KEN.001.1989,1989,0.7876146979892958,117.19717263888886,39.385816237691195,148.21802039999992,39.79815028886916,137.97232999999989,delta,Africa
MAHAJAMBA.2004,2004,2.746682761915257,553.8726312222223,105.86844804567522,844.6596724999994,166.36428144090357,622.0489639999998,fan,Tropical Island
MALAWI1.2014,2014,-0.4466660652570379,381.2925138555555,79.3180199063652,345.86384599999997,117.54416922943176,444.4540979999997,fan,Africa
MANAMBOLO.2004,2004,0.6372892007727384,341.4635082777777,99.17985687750884,404.6697599999999,96.04490222493459,404.78029999999984,delta,Tropical Island
PI0019.1989,1989,1.7195790076674942,490.5755606444444,85.18944241722295,637.0655374999998,310.006039188785,541.3195649999999,delta,Tropical Island
PI0209.2006,2006,0.7545522197621131,365.68850202222217,54.64431936967452,406.9204944999999,158.99608192624297,403.71969299999984,delta,Tropical Island
PI0269.1.1996,1996,0.6020036632244755,366.69629646666664,88.60101904968738,420.0344345,144.01708411906546,425.8841389999999,fan,Tropical Island
PI0354.2002,2002,-0.6853646490843153,325.15955497777776,149.08964974236255,222.97877949999997,156.40603740728972,395.39753399999995,fan,Tropical Island
PI0801.1.2007,2007,0.22175097388998893,648.1281935999998,96.57829241654103,669.5445239999999,245.85111403932711,706.718447,delta,Tropical Island
PNG.010.2011,2011,-0.5245247998290511,204.4656183444444,28.767269630267556,189.37647199999998,109.06759789719625,224.04724299999998,fan,Tropical Island
PNG0066.1.2003,2003,-0.17915032826854557,623.1827032555555,136.16320154875459,598.7890209999999,352.90098540186915,689.378335,fan,Tropical Island
PNG0069.1991,1991,0.42304825429856835,616.2594615333333,145.0280856693143,677.6133399999999,323.1653062897196,696.5747179999997,fan,Tropical Island
R1,2000,1.015836177424717,275.8267307333333,86.22752094607112,363.4197659999999,131.507370444,306.393412,retrogradational,Tropical Island
R10.1,1986,0.8694083737416182,429.07956929999995,77.28049295274876,496.2678769999998,210.94017936074763,463.18790399999995,retrogradational,South America
R10.2,1995,-0.2005127970583028,429.07956929999995,77.28049295274876,413.58384149999983,210.94017936074763,463.18790399999995,retrogradational,South America
R10.3,2008,-0.38773862141797,429.07956929999995,77.28049295274876,399.1149375,210.94017936074763,463.18790399999995,retrogradational,South America
R11.2,1990,0.6898207884552998,324.27228426666665,66.43136521871116,370.09802099999996,167.39908900971963,361.57753799999995,retrogradational,South America
R11.3,2000,-0.9619789169810249,324.27228426666665,66.43136521871116,260.36671149999995,167.39908900971963,361.57753799999995,retrogradational,South America
R12,1985,1.4858079495603087,322.5909879888888,69.95423401918761,426.5295449999999,169.23815154966357,372.90950999999995,retrogradational,South America
R14,1989,0.4464528983094616,358.7147501444444,69.77692041762108,389.8668585,178.54237655555139,394.06679799999995,retrogradational,South America
R15,2005,0.03507598268163276,584.1569078888888,92.93102749813421,587.4165549999997,303.3155799495327,633.9975599999999,retrogradational,South America
R16.2,1992,0.7424651868945568,443.28387688888876,79.2042006131968,502.0902384999999,218.66831499327103,471.3661959999997,retrogradational,South America
R16.3,2011,0.0723405774788704,443.28387688888876,79.2042006131968,449.0135544999997,218.66831499327103,471.3661959999997,retrogradational,South America
