site_name,site_lat,site_lon,reach_ID,y_pred,date,year,month
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,78.295616,2004-09-02,2004,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,174.04445,2004-09-18,2004,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,195.14594,2005-01-08,2005,1
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,218.94301,2005-03-13,2005,3
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,186.82758,2005-04-14,2005,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,85.46939,2005-05-16,2005,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,194.58847,2005-06-01,2005,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,108.77983,2005-06-17,2005,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,252.26314,2005-07-03,2005,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,93.97789,2005-08-04,2005,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,13.172744,2005-09-05,2005,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,134.77205,2006-05-03,2006,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,53.575752,2006-06-20,2006,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,58.99083,2006-07-06,2006,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,66.24023,2006-07-22,2006,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,54.960003,2006-08-07,2006,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,15.72753,2006-09-08,2006,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,153.05469,2007-04-04,2007,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,72.35596,2007-05-06,2007,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,35.43486,2007-05-22,2007,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,77.70075,2007-06-07,2007,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,42.25386,2007-06-23,2007,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,63.563198,2007-07-09,2007,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,55.007572,2007-07-25,2007,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,227.21011,2007-08-10,2007,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,92.20429,2007-08-26,2007,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,29.960703,2007-09-11,2007,9
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,106.974365,2007-11-14,2007,11
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,26.890886,2008-04-06,2008,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,21.446417,2008-04-22,2008,4
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,48.00746,2008-05-24,2008,5
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,37.751106,2008-06-09,2008,6
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,34.735897,2008-07-11,2008,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,27.825432,2008-07-27,2008,7
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,19.98813,2008-08-12,2008,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,53.085213,2008-08-28,2008,8
Mamore_Guajara-Mirim,-10.79,-65.35,62267500061,375.7048,2008-09-13,2008,9
