OBJECTID,Join_Count,TARGET_FID,site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,site_lat,site_lon,country,continent,identity,climate
67,1,67,G18,1995,-0.365024997,-0.320624211,0.60751463,0.678537443,0.023065106,0.260483712,fan,Pacific Islands,-9.6293,149.3082,Papua New Guinea,Oceania,f8d19db1-8c97-c4b8-34a3-59672dab4928,Am Tropical-Monsoon
68,1,68,G19,2015,-0.539990865,-0.484598817,-0.066792293,0.013557561,-0.685620988,-0.291079185,fan,Pacific Islands,-4.9712,139.9119,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
69,1,69,G2,2013,1.274700917,1.175041135,1.179800104,1.121809498,1.151829096,0.925869577,fan,Pacific Islands,-5.1578,144.7887,Papua New Guinea,Oceania,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
70,1,70,G20,2008,1.194103002,1.117171938,1.140995453,1.046614417,1.501522712,1.016015231,intra-lobe,Pacific Islands,-5.0624,139.7273,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
71,1,71,G21,1995,0.371377271,0.421261634,0.460836217,0.509719842,0.306738091,0.566387914,fan,Pacific Islands,-4.7231,139.3009,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
72,1,72,G22,1998,0.726894719,0.70977457,1.375407551,1.212809392,1.816053181,1.193434674,intra-lobe,Pacific Islands,-4.687,138.7889,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
73,1,73,G23,2005,-0.073071021,0.014582205,-0.097369451,-0.024552911,-0.416966282,0.034424889,fan,Pacific Islands,-4.3663,136.8475,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
74,1,74,G24,2013,0.627060729,0.558432401,0.756282791,0.739982243,0.714257484,0.712543806,fan,Pacific Islands,-4.3488,136.7978,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
75,1,75,G25.1,1999,0.773352044,0.57665752,0.432155525,0.463712737,0.674471074,0.486060029,fan,Pacific Islands,-0.767259,133.62207,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
76,1,76,G25.2,2007,0.617972552,0.482645908,0.712390771,0.713546211,0.674471074,0.486060029,fan,Pacific Islands,-0.8055,133.62,Indonesia,Asia,57912377-9f5b-a79f-281e-5dc891739f56,Af Tropical-Rainforest
77,1,77,G26,1998,2.194119617,1.673286556,1.819203216,1.543889887,1.87540987,1.175436031,intra-lobe,Pacific Islands,-3.3172,128.6831,Indonesia,Asia,d4ce2bd9-8758-61ef-7845-bf16cbc6047d,Af Tropical-Rainforest
