site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area
G6,2005,0.041606504992642505,0.138743254,-0.038479489,0.084048548,-0.227314182,0.1109111947732504,fan,Pacific Islands
G7,2013,1.2748604451827361,0.8230392519683848,0.9901423280138623,0.8521756668206212,1.514942193707886,1.1219824854428757,fan,Pacific Islands
G8,2017,2.0798931482390777,1.5382537377634857,2.194282751,1.8468162037460067,3.2741739964571948,1.7061528007226365,intra-lobe,Pacific Islands
G9,2013,1.3230204872728657,0.9051022775602346,1.611898226744224,1.1704754021719397,1.8009886094447976,1.1933393857657362,fan,Pacific Islands
H001,2008,1.2037095232942512,0.6770422413658262,0.8939957913334128,0.6574584635687529,1.0941280957637014,0.8236081601389658,fan,Himalaya
H002,2000,0.619441793,0.43106788773122146,0.7538565447723031,0.6180914921239385,0.6049423971829716,0.6186042109706907,fan,Himalaya
H005,1998,1.0970309744525961,0.6612266285851133,1.1957719646723706,0.8815951351406379,2.0344334527584254,1.2358138545091977,fan,Himalaya
H006,1997,0.095398952,0.20612787030832644,0.27062616513903226,0.2774073604632071,-0.253393297,0.071169785,fan,Himalaya
H007,2010,1.246713448485167,0.5967360712864483,1.5356489609508333,0.813105883,2.195282028828203,1.1285023887241696,fan,Himalaya
H008,2006,-0.552500784,-0.15208414,-0.573337016,-0.266521618,-0.768941162,-0.303238792,fan,Himalaya
H009,1994,0.334369803,0.2780230772484681,0.408460776,0.3538188986839063,0.20897856614185137,0.4224869441915279,fan,Himalaya
H010,2006,-0.493254686,-0.130775676,-0.440547444,-0.162019498,-0.919251922,-0.494908362,fan,Himalaya
H011,2001,-0.204512073,0.042128166182292905,0.10375627668484509,0.18606884224142667,-0.249077973,0.11530420708441816,fan,Himalaya
H013,1990,0.5345987922621618,0.40806690878558743,1.0392608005951463,0.7345475488506745,0.8206943777973149,0.7861279518185498,fan,Himalaya
H015,1992,-0.935635692,-0.912981538,-0.924976741,-0.935339047,-1.130873716,-1.79977863,fan,Himalaya
H016,2003,-0.309295061,-0.039000649,0.08095794,0.28650097880704734,-0.129663474,0.33537734046431145,fan,Himalaya
H017,2002,-0.23946924,0.035478496,-0.171776514,0.033605431,-0.307606714,0.24468985533999754,fan,Himalaya
H020,2011,0.26045633290210807,0.4279852094616074,0.065899976,0.246452397,0.1465261874553268,0.44239678279151606,fan,Himalaya
H021,2001,0.20151556868697346,0.5850785947339672,0.32249972975175695,0.6443089784081736,0.7656069010735287,0.7307991780986798,fan,Himalaya
H022,2010,3.7063420631031168,1.6770093633765344,3.5684245944551214,1.9357858318260346,2.0758725869231114,1.041170213383495,fan,Himalaya
H023,2003,-0.248589269,0.03678764,0.088423125,0.27729951778247747,-0.144854372,0.27517565015582024,fan,Himalaya
H024,1999,0.024378472,0.5010813633544281,-0.102275917,0.3199814441854561,0.4645231556365772,0.6071303298697551,fan,Himalaya
H025,2006,-0.482007,-0.127461742,-0.416811163,-0.148543758,-0.368916312,0.11931498939404755,fan,Himalaya
H026,2001,-0.23912075,0.024817341355115523,0.2133926214098066,0.24497123368647583,0.082879886,0.2967433096586352,fan,Himalaya
H027,1992,-0.1647592,0.07727663,0.13778215308256078,0.1933202470659681,-0.308241655,0.058852646540928026,fan,Himalaya
H028,2002,-0.449004126,-0.184522503,-0.263747579,-0.077650683,-0.475109205,0.060444437,fan,Himalaya
H029,2001,0.46325724373937116,0.5962826899263748,0.8032461986005058,0.8479142338927423,1.0609245845498276,0.7849422467167196,fan,Himalaya
H030,2001,0.4068696455997612,0.6671705869816431,0.5862624584343951,0.787283116,0.6330067095845773,0.6749073002528329,fan,Himalaya
Indus.2010,2010,1.6727360128495743,1.1605775861295222,0.6231022636167332,0.6597050570518863,0.6561651417098263,0.629476738,delta,Asia
JA.12.Eritrea,2006,1.8415173034359025,1.4182152381297084,0.056982283419876226,0.20213747786835592,-0.04966831,0.4399445342688949,delta,Africa
JA.18.PNG.1994.1994,1994,0.7408512966724177,0.8430943622981677,-0.097029263,0.067743167,-0.014332122,0.43898528486133986,fan,Pacific Islands
JA.25.India.1990,1990,0.15816465802256285,0.2534245428942657,0.8329115999442215,0.5994798673138789,0.2003748990579213,0.43182040029949365,fan,Himalaya
JA.25.India.1996,1996,2.5609712051201994,1.1847307193510723,2.0929733168524014,1.1683015386203275,1.7730142583306974,1.0025759165148744,fan,Himalaya
JA.26.Ethiopia.1988,1988,0.7844347447582556,,0.9906422478744623,0.8173204772444337,2.047451684350437,1.1636845381633427,fan,Africa
JA.26.Ethiopia.1992,1992,-0.359893633,,-0.320919551,0.25497655237344946,-0.073469284,0.44260478578281603,fan,Africa
JA.26.Ethiopia.1998,1998,3.787003286221713,,3.587137437989133,1.2217659171056177,1.6591140423265565,1.0791630729538184,fan,Africa
JA.26.Ethiopia.2002,2002,-0.173989335,,-0.114134247,0.40173809350568257,0.25512410577868216,0.6218528373050813,fan,Africa
JA.26.Ethiopia.2009,2009,-0.778312113,,-0.766124982,-0.493743159,-0.90988882,-0.666641306,fan,Africa
JA.26.Ethiopia.2011,2011,0.6697164492767453,,0.3071106476658115,0.605815345,0.6434617478025623,0.7841409034568957,fan,Africa
JA.28.Eritrea.1997.1997,1997,0.3110855754715666,0.44051356738731146,0.4624462635071981,0.6245744170636748,0.672349701,0.7806353200429756,delta,Africa
JA.30.Eritrea.2007.2007,2007,1.0700532415275814,1.0528319542712974,0.1774621520952432,0.311094611,0.6714087214120416,0.842826525,delta,Africa
JA.34.Morocco.2001.2001,2001,0.015518296,0.220127543,0.09199946,0.2783299594368636,-0.332147088,-0.028876172,delta,Africa
JA.35.Madagascar.2000.2000,2000,0.9732335096618511,0.9734158140729857,1.176220924565987,1.106146858,1.5229130378052698,0.908081171,delta,Madagascar 
JA.36.Eritrea.2005.2005,2005,-0.738960957,-0.72039598,-0.638132604,-0.592486976,-0.466324358,-0.587556662,delta,Africa
JA.37.Somalia.1989.1989,1989,4.483396068894369,2.046352082720985,3.7681463556780526,1.9402047516675935,1.3017679581157036,1.3273166580706486,delta,Africa
JA.38.Madagascar.1994.1994,1994,1.4258166459002057,0.8829087483336312,0.9938080349587237,0.8389280900959426,0.8233853446821525,0.6881215384831928,delta,Madagascar 
JA.4.Kosi.2008.2008,2008,1.1944129375685053,0.6698671282159612,0.887989563,0.6514645710424488,1.1031165993469063,0.8284940176206937,fan,Himalaya
JA.40.NewGuinea.Madang.1989.1989,1989,1.2675945625921026,1.2182077446254032,0.6333727596323923,0.6750712762775017,0.32746165749242634,0.5540180636789463,delta,Pacific Islands
JA.69.PNG.2004,2004,0.10587730105129636,0.20448515155708455,0.34779662126332145,0.4178635917138381,0.056398817,0.3759384553408805,delta,Pacific Islands
JA.69.PNG.2009,2009,0.402090849,0.48137270097397294,0.11009379313205105,0.19297610744244945,-0.098175719,0.2607844152594136,delta,Pacific Islands
JA.8.India.2004.2004,2004,1.011492200394894,0.6075211953436552,1.2752247564061236,0.83675458,0.9905914293979583,0.7215596156800095,fan,Himalaya
JA.82.DeinNewGuinea.2012,2012,0.6821235367717584,0.6975899341709814,1.142437979930891,1.102846167853614,0.7938941309924454,0.7862014397345659,delta,Pacific Islands
JA.91.Peru.1998,1998,3.468869964952838,2.742732677,3.8086480434182297,3.1328334327852727,3.164443901954097,1.3903360802435865,delta,South America
JA.95.PNG.1989.1989,1989,1.6429985033722578,1.4915318764953476,0.6227893697611299,0.6672545976700125,0.5587660619099654,0.6805702430899613,fan,Pacific Islands
JAVA12.1985,1985,1.5217333750445454,1.2379358751734155,1.283275343628601,1.2928225025588176,1.682925586289253,1.1323121062928287,delta,Pacific Islands
JAVA2.1984,1984,1.7733255366606668,1.2264903379184562,1.2752054728141318,1.2431319885231984,0.8258181687897016,0.7294187549208277,delta,Pacific Islands
JAVA3.1992,1992,0.49868633858102335,0.5051423295336147,0.4635575979102192,0.544608981,0.7435508231247702,0.6897572912984131,delta,Pacific Islands
JAVA5.1995,1995,1.2425041798245346,0.9730189067049978,2.184198213182854,1.8512465493030281,2.7504085783184222,1.284207541575484,delta,Pacific Islands
JAVA5.1998,1998,0.6498819397599689,0.5848340553062287,0.8669929841662832,0.8944666429137669,-0.020804906,0.3485847318676676,delta,Pacific Islands
JAVA5.2018,2018,0.19814161253402016,0.2593243617783011,0.5637765540706292,0.6387679137433872,0.24861862716267133,0.49990523318905733,delta,Pacific Islands
JAVA6.2010,2010,1.0882544870838124,0.8788219463225384,2.8894607636648866,2.355918466896288,1.4987520796508662,0.9942924646464673,delta,Pacific Islands
JAVA7.1990,1990,0.015857232,0.1081083476564389,1.0024338832664341,1.0625686775527903,0.1834091652326903,0.36607636090142803,delta,Pacific Islands
JAVA7.2010,2010,1.2027766069739831,0.9735421157463059,3.0261883813507544,2.523129777959773,2.7934626704671275,1.349096057776202,delta,Pacific Islands
JAVA8.2018,2018,0.39923871941618183,0.40122294702779193,0.1077174983252783,0.2334150923845686,-0.220560997,0.2347052467231958,delta,Pacific Islands
JAVA9.2014,2014,1.589410492062081,1.0852544513698452,1.2449528822478555,1.1811937222198672,1.397063977662009,0.9822363021980461,delta,Pacific Islands
KAZ.001.1993,1993,0.7468294030812802,0.8679098825117728,0.8505809442574266,1.0297001850561398,1.3226673642022961,1.1553959824476527,delta,Central Asia
KAZ.014.2011,2011,1.4350088318042729,1.2010902869821822,1.7435566593886886,1.5189012360801037,1.615345788400039,1.1984747645432399,fan,Central Asia
