site_name,site_area,avulsion_start_date,site_lat,site_lon,av_type,source,country,brooke_width_m,width_m,width_m_note
JAVA12.1985,Tropical Island,1985,-6.920091,112.58208,delta,brooke et al 2022,Indonesia,180,,
JAVA2.1984,Tropical Island,1984,-6.749281,110.58306,delta,brooke et al 2022,Indonesia,100,,
JAVA3.1992,Tropical Island,1992,-6.854915,110.17566,delta,brooke et al 2022,Indonesia,,,
JAVA5.1995,Tropical Island,1995,-6.754231,108.81332,delta,brooke et al 2022,Indonesia,,,
JAVA5.1998,Tropical Island,1998,-6.762009,108.82315,delta,brooke et al 2022,Indonesia,,,
JAVA5.2018,Tropical Island,2018,-6.751867,108.83116,delta,brooke et al 2022,Indonesia,,,
JAVA6.2010,Tropical Island,2010,-6.235773,108.20044,delta,brooke et al 2022,Indonesia,,,
JAVA7.1990,Tropical Island,1990,-6.205649,107.87981,delta,brooke et al 2022,Indonesia,,,
JAVA7.2010,Tropical Island,2010,-6.19215,107.88984,delta,brooke et al 2022,Indonesia,,,
JAVA9.2014,Tropical Island,2014,-6.014357,106.63317,delta,brooke et al 2022,Indonesia,,,
KAZ.001.1993,Central Asia,1993,46.467261,77.256803,delta,brooke et al 2022,Kazakhstan,,,
KAZ.014.2011,Central Asia,2011,46.104023,60.864246,fan,brooke et al 2022,Kazakhstan,,,
KEN.001.1989,Africa,1989,4.5685778,36.032135,delta,brooke et al 2022,Kenya,97,,
MAHAJAMBA.2004,Tropical Island,2004,-16.4197,47.397163,fan,brooke et al 2022,Madagascar,500,,
MALAWI1.2014,Africa,2014,-13.88624,34.576099,fan,brooke et al 2022,Malawi,100,,
MANAMBOLO.2004,Tropical Island,2004,-19.1855,44.428446,delta,brooke et al 2022,Madagascar,970,,
PI0019.1989,Tropical Island,1989,1.885402,98.575117,delta,brooke et al 2022,Indonesia,120,,
PI0209.2006,Tropical Island,2006,-6.798919,109.05695,delta,brooke et al 2022,Indonesia,100,,
PI0269.1.1996,Tropical Island,1996,-9.194668,125.52482,fan,brooke et al 2022,Timor-Leste,,,
PI0354.2002,Tropical Island,2002,-3.150461,126.24082,fan,brooke et al 2022,Indonesia,,,
PI0801.1.2007,Tropical Island,2007,12.744353,120.81316,delta,brooke et al 2022,Philippines,,,
PNG.010.2011,Tropical Island,2011,-6.470433,146.55624,fan,brooke et al 2022,Papua New Guinea,,,
PNG0066.1.2003,Tropical Island,2003,-6.693364,147.21121,fan,brooke et al 2022,Papua New Guinea,,,
PNG0069.1991,Tropical Island,1991,-6.721834641,147.4431736,fan,brooke et al 2022,Papua New Guinea,,,
R1,Tropical Island,2000,-10.0478,148.0854,retrogradational,edmonds et al 2022,Papua New Guinea,,50,average channel width upstream of avulsion site
R10.1,South America,1986,-13.5464,-68.4792,retrogradational,edmonds et al 2022,Papua New Guinea,,26,average channel width upstream of avulsion site
R10.2,South America,1995,-13.5359,-68.4707,retrogradational,edmonds et al 2022,Papua New Guinea,,26,average channel width upstream of avulsion site
R10.3,South America,2008,-13.5244,-68.466,retrogradational,edmonds et al 2022,Papua New Guinea,,26,average channel width upstream of avulsion site
R11.1,South America,1984,-13.8192,-67.8402,retrogradational,edmonds et al 2022,Papua New Guinea,,42,average channel width upstream of avulsion site
R11.2,South America,1990,-13.779,-67.802,retrogradational,edmonds et al 2022,Papua New Guinea,,42,average channel width upstream of avulsion site
R11.3,South America,2000,-13.7846,-67.8047,retrogradational,edmonds et al 2022,Papua New Guinea,,10,average channel width upstream of avulsion site
R12,South America,1985,-13.989,-67.7863,retrogradational,edmonds et al 2022,Papua New Guinea,,55,average channel width upstream of avulsion site
R14,South America,1989,-13.4487,-67.9909,retrogradational,edmonds et al 2022,Papua New Guinea,,31,average channel width upstream of avulsion site
R15,South America,2005,-13.1683,-69.552,retrogradational,edmonds et al 2022,Bolivia,,10,average channel width upstream of avulsion site
R16.2,South America,1992,-13.4642,-68.526,retrogradational,edmonds et al 2022,Bolivia,,10,average channel width upstream of avulsion site
R16.3,South America,2011,-13.4776,-68.531,retrogradational,edmonds et al 2022,Bolivia,,10,average channel width upstream of avulsion site
R17.1,South America,1984,-13.495,-68.5752,retrogradational,edmonds et al 2022,Bolivia,,40,average channel width upstream of avulsion site
